item_id,url,title,brand_tier,cba_flag
coca_cola_1_5l,https://supermercado.laanonimaonline.com/bebidas/gaseosa-cola-coca-cola-pet-x-1-5-lt/art_2175/,"Gaseosa Coca-Cola PET x 1,5 L",premium,no
coca_cola_light_1_5l,https://supermercado.laanonimaonline.com/bebidas/gaseosas/gaseosa-cola-coca-cola-light-pet-x-1-5-lt/art_2185/,"Gaseosa Coca-Cola Light PET x 1,5 L",premium,no
coca_cola_zero_1_5l,https://supermercado.laanonimaonline.com/bebidas/gaseosa-cola-diet-coca-cola-zero-pet-x-1-5-lt/art_2608/,"Gaseosa Coca-Cola Zero PET x 1,5 L",premium,no
coca_cola_lata_354cc,https://supermercado.laanonimaonline.com/bebidas/gaseosas/gaseosa-cola-lata-coca-cola-x-354-cc/art_6976/,Gaseosa Coca-Cola lata x 354 cc,premium,no
cepita_naranja_1l,https://supermercado.laanonimaonline.com/bebidas/jugos/jugos-listos/jugo-natural-cepita-naranja-tentacion-x-1-lt/art_1189/,Jugo Natural Cepita Naranja Tentación x 1 L,estándar,no
cepita_durazno_1l,https://supermercado.laanonimaonline.com/bebidas/aguas-y-jugos/jugo-natural-cepita-durazno-x-1-lt/art_1190/,Jugo Natural Cepita Durazno x 1 L,estándar,no
cepita_manzana_1l,https://supermercado.laanonimaonline.com/bebidas/aguas-y-jugos/jugo-natural-cepita-manzana-x-1-lt/art_5367/,Jugo Natural Cepita Manzana x 1 L,estándar,no
gatorade_cool_blue_500cc,https://supermercado.laanonimaonline.com/bebidas/isotonicas-y-energizantes/isotonica-gatorade-cool-blue-botella-500cc-x1/art_2603/,Isotónica Gatorade Cool Blue botella 500 cc,estándar,no
gatorade_manzana_500cc,https://supermercado.laanonimaonline.com/bebidas/isotonicas-y-energizantes/isotonica-gatorade-manzana-botella-500cc-x1/art_2606/,Isotónica Gatorade Manzana botella 500 cc,estándar,no
gatorade_frutas_tropicales_500cc,https://supermercado.laanonimaonline.com/bebidas/isotonicas-y-energizantes/isotonica-gatorade-frutas-tropicales-botella-500cc-x1/art_10703/,Isotónica Gatorade Frutas Tropicales botella 500 cc,estándar,no
gatorade_limon_sin_azucar_500cc,https://supermercado.laanonimaonline.com/bebidas/isotonicas-y-energizantes/isotonica-gatorade-limon-sin-azucar-botella-500cc-x1/art_18999/,Isotónica Gatorade Limón sin azúcar botella 500 cc,estándar,no
gatorade_berry_sin_azucar_500cc,https://supermercado.laanonimaonline.com/bebidas/isotonicas-y-energizantes/isotonica-gatorade-berry-sin-azucar-botella-500cc-x1/art_19000/,Isotónica Gatorade Berry sin azúcar botella 500 cc,estándar,no
gatorade_maracuya_500cc,https://supermercado.laanonimaonline.com/bebidas/isotonicas-y-energizantes/bebida-maracuya-gatorade-x-500-cc/art_27561/,Isotónica Gatorade Maracuyá botella 500 cc,estándar,no
gatorade_green_mango_500cc,https://supermercado.laanonimaonline.com/bebidas/isotonicas-y-energizantes/bebida-green-mango-gatorade-x-500-cc/art_29089/,Isotónica Gatorade Green Mango botella 500 cc,estándar,no
gatorade_naranja_500cc,https://supermercado.laanonimaonline.com/bebidas/isotonicas-y-energizantes/isotonica-gatorade-naranja-botella-500cc-x1/art_7501/,Isotónica Gatorade Naranja botella 500 cc,estándar,no
gatorade_lima_limon_500cc,https://supermercado.laanonimaonline.com/bebidas/isotonicas-y-energizantes/isotonica-gatorade-lima-limon-botella-500cc-x1/art_7500/,Isotónica Gatorade Lima Limón botella 500 cc,estándar,no
