item_id,url,title,brand_tier,cba_flag
leche_lv_entera_la_anonima_1l,https://supermercado.laanonimaonline.com/frescos/lacteos/leches/leche-l-v-entera-la-anonima-x-1-lt/art_1824/,Leche L.V. Entera La Anónima x 1 lt,2da marca,si
leche_lv_entera_manfrey_1l,https://supermercado.laanonimaonline.com/frescos/leche-l-v-entera-manfrey-x-1-lt/art_11147/,Leche L.V. Entera Manfrey x 1 lt,estándar,si
leche_entera_laserenisima_1l,https://supermercado.laanonimaonline.com/frescos/lacteos/leches/leche-entera-clasica-3-la-serenisima-x-1-lt/art_27579/,Leche entera clásica 3% La Serenísima x 1 lt,premium,si
leche_entera_botella_laserenisima_1l,https://supermercado.laanonimaonline.com/frescos/lacteos/leches/leche-l-v-entera-clasica-3-la-serenisima-botella-x-1-lt/art_1732/,Leche L.V. Entera clásica 3% La Serenísima botella x 1 lt,premium,si
leche_entera_lechelita_1l,https://supermercado.laanonimaonline.com/frescos/lacteos/leche-entera-uat-lechelita-x-1-lt/art_17233/,Leche entera UAT Lechelita x 1 lt,estándar,si
yogur_bebible_yogurisimo_sachet_1kg,https://supermercado.laanonimaonline.com/frescos/yogur-bebible-yogurisimo-sachet-x-1-kg/art_383/,Yogur bebible Yogurísimo sachet x 1 kg,premium,no
yogur_bebible_yogurisimo_tetrabrik_1kg,https://supermercado.laanonimaonline.com/frescos/lacteos/yogur-bebible-vainilla-tetrabrik-yogurisimo-x-1-kg/art_21724/,Yogur bebible Vainilla tetrabrik Yogurísimo x 1 kg,premium,no
yogur_bebible_sancor_yogs_vainilla_1kg,https://supermercado.laanonimaonline.com/frescos/lacteos/yogur-bebible-sancor-yogs-vainilla-sachet-x-1-kg/art_4356/,Yogur bebible Sancor Yogs vainilla sachet x 1 kg,estándar,no
yogur_bebible_ser_probioticos_1kg,https://supermercado.laanonimaonline.com/frescos/lacteos/yogures/yogur-bebible-frutilla-con-probioticos-b6-sachet-ser-x-1-kg/art_17526/,Yogur bebible frutilla con probióticos Ser x 1 kg,premium,no
yogur_bebible_cremigal_frutilla_1kg,https://supermercado.laanonimaonline.com/frescos/lacteos/yogures/yogur-bebible-frutilla-cremigal-x-1-kg/art_28092/,Yogur bebible frutilla Cremigal x 1 kg,estándar,no
yogur_firme_laserenisima_frutilla_190g,https://supermercado.laanonimaonline.com/frescos/lacteos/yogures/yogur-firme-descremado-frutilla-la-serenisima-clasico-190-g/art_24524/,Yogur firme descremado frutilla La Serenísima 190 g,premium,no
yogur_firme_laserenisima_vainilla_190g,https://supermercado.laanonimaonline.com/frescos/lacteos/yogures/yogur-firme-descremado-vainilla-la-serenisima-x-190-g/art_24523/,Yogur firme descremado vainilla La Serenísima 190 g,premium,no
yogur_firme_dahi_natural_190g,https://supermercado.laanonimaonline.com/frescos/lacteos/yogures/yogur-firme-descremado-natural-dahi-x-190-g/art_25948/,Yogur firme descremado natural Dahi 190 g,estándar,no
yogur_firme_ser_vainilla_190g,https://supermercado.laanonimaonline.com/frescos/lacteos/yogur-firme-sabor-vainilla-ser-190g/art_22785/,Yogur firme sabor vainilla Ser 190 g,premium,no
queso_cremoso_cremon_laserenisima_1kg,https://supermercado.laanonimaonline.com/frescos/queso-cremoso-cremon-la-serenisima-x-1-kg/art_1619/,Queso cremoso Cremón La Serenísima x 1 kg,premium,si
queso_cremoso_la_paulina_1kg,https://supermercado.laanonimaonline.com/frescos/quesos-y-fiambres/queso-cremoso-horma-entera-la-paulina-x-1-kg/art_11530/,Queso cremoso La Paulina x 1 kg,estándar,si
queso_cremoso_la_anonima_trozado_1kg,https://supermercado.laanonimaonline.com/frescos/quesos-y-fiambres/queso-cremoso-trozado-la-anonima-x-1-kg/art_2273/,Queso cremoso trozado La Anónima x 1 kg,2da marca,si
queso_cremoso_noalsa_1kg,https://supermercado.laanonimaonline.com/frescos/quesos-y-fiambres/queso-cremoso-horma-fraccionada-noalsa-x-1-kg/art_23082/,Queso cremoso horma fraccionada Noalsa x 1 kg,estándar,si
queso_rallado_laserenisima_40g,https://supermercado.laanonimaonline.com/frescos/quesos-y-fiambres/quesos/queso-rallado-la-serenisima-x-40-g/art_2278/,Queso rallado La Serenísima x 40 g,premium,no
queso_rallado_tregar_40g,https://supermercado.laanonimaonline.com/frescos/quesos-y-fiambres/queso-rallado-tregar-x-40-g/art_1318/,Queso rallado Tregar x 40 g,estándar,no
queso_rallado_manfrey_40g,https://supermercado.laanonimaonline.com/frescos/quesos-y-fiambres/queso-rallado-manfrey-x-40-g/art_7247/,Queso rallado Manfrey x 40 g,estándar,no
aderezo_rallado_best_40g,https://supermercado.laanonimaonline.com/frescos/quesos-y-fiambres/aderezo-rallado-sabor-queso-best-x-40-g/art_29196/,Aderezo rallado sabor queso Best x 40 g,2da marca,no
manteca_la_anonima_200g,https://supermercado.laanonimaonline.com/frescos/manteca-la-anonima-x-200-g/art_2272/,Manteca La Anónima x 200 g,2da marca,no
manteca_la_serenisima_200g,https://supermercado.laanonimaonline.com/frescos/lacteos/manteca-y-margarina/manteca-la-serenisima-x-200-g/art_2284/,Manteca La Serenísima x 200 g,premium,no
manteca_ilolay_200g,https://supermercado.laanonimaonline.com/frescos/lacteos/manteca-y-margarina/manteca-extra-fortificada-con-vitamina-d-ilolay-x-200-g/art_27725/,Manteca extra fortificada con vitamina D Ilolay x 200 g,estándar,no
manteca_primer_premio_200g,https://supermercado.laanonimaonline.com/frescos/lacteos/manteca-y-margarina/manteca-primer-premio-x-200-g/art_1473/,Manteca Primer Premio x 200 g,2da marca,no
huevos_blancos_la_anonima_docena,https://supermercado.laanonimaonline.com/frescos/huevos/huevo-blanco-extra-grande-la-anonima-x-12-un/art_8089/,Huevo blanco extra grande La Anónima x 12 un,2da marca,si
huevos_color_dt_docena,https://supermercado.laanonimaonline.com/frescos/huevos/huevo-color-d-t-x-12-un/art_7088/,Huevo color D.T. x 12 un,estándar,si
