item_id,url,title,brand_tier,cba_flag
papas_simplot_1_1kg,https://supermercado.laanonimaonline.com/congelados/papas-corte-tradicional-simplot-x-1-1-kg/art_10431/,"Papas corte tradicional Simplot x 1,1 kg",premium,no
arveja_la_300g,https://supermercado.laanonimaonline.com/congelados/papas-y-vegetales/arveja-supercongelada-la-anonima-x-300-gr/art_108/,Arveja supercongelada La Anónima x 300 g,estándar,no
arvejas_greenlife_350g,https://supermercado.laanonimaonline.com/congelados/papas-y-vegetales/vegetales/arvejas-congeladas-green-life-x-350-g/art_26479/,Arvejas congeladas Green Life x 350 g,estándar,no
arvejas_granja_300g,https://supermercado.laanonimaonline.com/frutas-y-verduras/arvejas-congeladas-granja-del-sol-x-300-g/art_24485/,Arvejas congeladas Granja del Sol x 300 g,estándar,no
mix_primavera_la_400g,https://supermercado.laanonimaonline.com/frutas-y-verduras/mix-primavera-super-la-anonima-x-400-gr/art_109/,Mix primavera La Anónima x 400 g,estándar,no
papas_smiles_mccain_700g,https://supermercado.laanonimaonline.com/congelados/papas-y-vegetales/papas-smiles-mc-cain-x-700-g/art_26741/,Papas Smiles McCain x 700 g,premium,no
nuggets_artico_300g,https://supermercado.laanonimaonline.com/congelados/nuggets-de-pollo-crocantes-artico-x-300-g/art_15089/,Nuggets de pollo crocantes Artico x 300 g,estándar,no
nuggets_sadia_300g,https://supermercado.laanonimaonline.com/congelados/nuggets-de-pollo-crocantes-sadia-x-300-g/art_18497/,Nuggets de pollo crocantes Sadia x 300 g,premium,no
bocaditos_sadia_300g,https://supermercado.laanonimaonline.com/congelados/milanesas-y-rebozados/pollo/bocaditos-crunchy-chicken-sadia-x-300-g/art_29092/,Bocaditos Crunchy Chicken Sadia x 300 g,premium,no
hamb_paty_4u_288g,https://supermercado.laanonimaonline.com/congelados/hamburguesas/vacuna/hamburguesa-carne-vacuna-paty-x-4-un-288-g/art_13328/,Hamburguesa de carne Paty x 4 un. 288 g,premium,no
hamb_paty_clasico_320g,https://supermercado.laanonimaonline.com/congelados/hamburguesas/hamburguesa-de-carne-vacuna-clasico-paty-x-4-un-320-gr/art_859/,Hamburguesa de carne Clásico Paty x 4 un. 320 g,premium,no
hamb_la_4u_320g,https://supermercado.laanonimaonline.com/congelados/hamburguesas/hamburguesa-de-carne-vacuna-x-4-un-la-anonima-x-320-gr/art_956/,Hamburguesa de carne La Anónima x 4 un. 320 g,estándar,no
hamb_swift_4u_276g,https://supermercado.laanonimaonline.com/congelados/hamburguesas/medallones-de-carne-vacuna-swift-x-4-un-276-gr/art_2529/,Medallones de carne Swift x 4 un. 276 g,estándar,no
hamb_swift_12u_828g,https://supermercado.laanonimaonline.com/congelados/hamburguesas/vacuna/medallones-de-carne-vacuna-x-12-un-swift-x-828-gr/art_3271/,Medallones de carne Swift x 12 un. 828 g,estándar,no
filet_merluza_artesanos_1kg,https://supermercado.laanonimaonline.com/congelados/pescados-y-mariscos/filet-de-merluza-artesanos-del-mar-x-1-kg/art_26600/,Filet de merluza Artesanos del Mar x 1 kg,estándar,si
filet_merluza_la_500g,https://supermercado.laanonimaonline.com/congelados/filet-de-merluza-s-espinas-la-anonima-x-500-gr/art_3119/,Filet de merluza s/ espinas La Anónima x 500 g,estándar,si
filet_merluza_romana_artico_500g,https://supermercado.laanonimaonline.com/congelados/n1_296/pma/pag/1/,Filet de merluza a la romana Artico x 500 g,estándar,no
bastones_merluza_la_300g,https://supermercado.laanonimaonline.com/congelados/pescados-y-mariscos/bastones-de-merluza-rebozados-la-anonima-x-300-gr/art_3122/,Bastones de merluza rebozados La Anónima x 300 g,estándar,no
bastones_merluza_best_300g,https://supermercado.laanonimaonline.com/congelados/pescados-y-mariscos/bastones-de-merluza-rebozados-best-x-300-g/art_28985/,Bastones de merluza rebozados Best x 300 g,2da marca,no
medallones_merluza_la_300g,https://supermercado.laanonimaonline.com/congelados/medallones-de-merluza-rebozados-la-anonima-x-300-g/art_3121/,Medallones de merluza rebozados La Anónima x 300 g,estándar,no
langostinos_oceanblue_500g,https://supermercado.laanonimaonline.com/congelados/pescados-y-mariscos/langostinos-pelados-crudos-ocean-blue-x-500-gr/art_3234/,Langostinos pelados crudos Ocean Blue x 500 g,premium,no
pizza_el_noble_515g,https://supermercado.laanonimaonline.com/congelados/pizza-de-muzzarella-el-noble-x-515-g/art_28608/,Pizza de muzzarella El Noble x 515 g,premium,no
pizza_pietro_470g,https://supermercado.laanonimaonline.com/congelados/empanadas-pizzas-y-tartas/pizza-con-mozzarella-pietro-x-470-g/art_26103/,Pizza con mozzarella Pietro x 470 g,estándar,no
pizza_sibarita_2un_940g,https://supermercado.laanonimaonline.com/congelados/empanadas-pizzas-y-tartas/pizza-a-la-piedra-con-mozzarella-congela-x-2-un-sibarita-x-940-g/art_28930/,Pizza a la piedra mozzarella Sibarita x2 un. 940 g,premium,no
