item_id,url,title,brand_tier,cba_flag
papel_higienico_la_anonima_4x80m,https://supermercado.laanonimaonline.com/limpieza/papeles-y-bolsas/papel-higienico/papel-higi-1nico-hoja-simple-la-an-1nima-4-x-80-metros/art_2957/,Papel higiénico hoja simple La Anónima 4 x 80 m,2da marca,no
papel_higienico_best_4x30m,https://supermercado.laanonimaonline.com/limpieza/papeles-y-bolsas/papel-higienico/papel-higienico-hoja-simple-best-4-x-30-metros/art_2955/,Papel higiénico hoja simple Best 4 x 30 m,2da marca,no
papel_higienico_higienol_plus_4un,https://supermercado.laanonimaonline.com/limpieza/papeles-y-bolsas/papel-higienico/papel-higienico-higienol-premium-doble-hoja-30-m-4-un/art_27318/,Papel higiénico Higienol Premium doble hoja 30 m 4 un,estándar,no
papel_higienico_premium_la_anonima_4x30m,https://supermercado.laanonimaonline.com/limpieza/papeles/papel-higienico/papel-higienico-doble-hoja-premium-la-anonima-4-x-30-metros/art_1409/,Papel higiénico doble hoja Premium La Anónima 4 x 30 m,2da marca,no
papel_higienico_felpita_12un,https://supermercado.laanonimaonline.com/limpieza/papeles-y-bolsas/papel-higienico/papel-higienico-hoja-simple-30-m-x-12-un-felpita-x-36-m2/art_26303/,Papel higiénico hoja simple Felpita 12 un,estándar,no
lavandina_ayudin_1l,https://supermercado.laanonimaonline.com/limpieza/cocina-y-bano/lavandina/lavandina-original-ayudin-x-1lt/art_2498/,Lavandina original Ayudín x 1 L,estándar,no
lavandina_ayudin_2l,https://supermercado.laanonimaonline.com/limpieza/cocina-y-bano/lavandina/lavandina-original-ayud-1n-x-2-lt/art_28387/,Lavandina original Ayudín x 2 L,estándar,no
lavandina_gel_vim_700cc,https://supermercado.laanonimaonline.com/limpieza/cocina-y-bano/lavandina/lavandina-gel-original-poder-desinfectante-vim-x-700-cc/art_28306/,Lavandina gel Vim x 700 cc,premium,no
lavandina_gel_odex_700cc,https://supermercado.laanonimaonline.com/limpieza/cocina-y-bano/lavandina/lavandina-gel-original-odex-x-700-cc/art_17714/,Lavandina gel Odex x 700 cc,estándar,no
detergente_magistral_500cc,https://supermercado.laanonimaonline.com/limpieza/cocina-y-bano/detergentes-y-antigrasas/detergente-liquido-ultra-limon-magistral-x-500-cc/art_28086/,Detergente líquido Magistral limón x 500 cc,premium,no
