item_id,url,title,brand_tier,cba_flag
papa_granel_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/verduras-frescas/papa-granel-kg/art_58/,Papa granel (Kg),estándar,si
papa_bolsita_elegida_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/verduras/papa-bolsita-elegida-kg/art_3306/,Papa bolsita elegida (Kg),estándar,si
cebolla_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/verduras-frescas/cebolla-kg/art_56/,Cebolla (Kg),estándar,si
cebolla_blanca_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/verduras/cebolla-blanca-kg/art_3312/,Cebolla blanca (Kg),estándar,si
cebolla_roja_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/cebolla-roja-kg/art_3302/,Cebolla roja (Kg),estándar,si
cebolla_verdeo_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/verduras/cebolla-verdeo-kg/art_2379/,Cebolla de verdeo (Kg),estándar,no
zanahoria_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/verduras-frescas/zanahoria-kg/art_2391/,Zanahoria (Kg),estándar,si
tomate_redondo_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/tomate-redondo-kg/art_2390/,Tomate redondo (Kg),estándar,si
tomate_perita_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/frutas-y-verduras/tomate-redondo-kg/art_2390/,Tomate perita (Kg),estándar,no
lechuga_unidad,https://supermercado.laanonimaonline.com/frutas-y-verduras/lechuga-x-unidad/art_1433/,Lechuga x unidad,estándar,si
lechuga_hidroponica_unidad,https://supermercado.laanonimaonline.com/frutas-y-verduras/lechuga-hidroponica-x-unidad/art_536/,Lechuga hidropónica x unidad,estándar,no
lechuga_mantecosa_envasada_200g,https://supermercado.laanonimaonline.com/frutas-y-verduras/lechuga-mantecosa-envasada-x-200-gr/art_3332/,Lechuga mantecosa envasada x 200 g,estándar,no
lechuga_capuchina_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/verduras/lechuga-capuchina-kg/art_2383/,Lechuga capuchina (Kg),estándar,no
pepino_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/verduras-frescas/pepino-kg/art_2397/,Pepino (Kg),estándar,no
banana_ecuador_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/frutas-frescas/banana-ecuador-kg/art_2393/,Banana Ecuador (Kg),estándar,si
manzana_grany_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/frutas-frescas/manzana-grany-elegida-kg/art_2398/,Manzana Grany elegida (Kg),estándar,si
naranja_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/frutas-frescas/naranja-kg/art_2401/,Naranja (Kg),estándar,si
limon_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/frutas-frescas/limon-kg/art_2395/,Limón (Kg),estándar,si
pera_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/frutas-frescas/pera-kg/art_2400/,Pera (Kg),estándar,si
pomelo_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/frutas-frescas/pomelo-kg/art_2405/,Pomelo (Kg),estándar,no
uvas_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/frutas-frescas/uvas-kg/art_2406/,Uvas (Kg),estándar,no
morrón_colorado_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/morron-colorado-kg/art_2372/,Morrón colorado (Kg),estándar,no
morrón_variedades_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/morron-variedades-kg/art_3299/,Morrón variedades (Kg),estándar,no
brocoli_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/verduras-frescas/brocoli-kg/art_2394/,Brócoli (Kg),estándar,no
coliflor_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/verduras-frescas/coliflor-kg/art_2404/,Coliflor (Kg),estándar,no
remolacha_sin_hoja_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/verduras-frescas/remolacha-s-hoja-kg/art_2403/,Remolacha s/hoja (Kg),estándar,no
zapallo_anco_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/zapallo-anco-kg/art_60/,Zapallo anco (Kg),estándar,si
zapallito_redondo_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/verduras-frescas/zapallito-redondo-kg/art_2392/,Zapallito redondo (Kg),estándar,no
zapallito_largo_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/verduras-frescas/zapallito-largo-kg/art_2396/,Zapallito largo (Kg),estándar,no
batata_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/verduras/verduras-frescas/batata-kg/art_2375/,Batata (Kg),estándar,no
ajo_bolsita_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/verduras/ajo-en-bolsita-kg/art_55/,Ajo en bolsita (Kg),estándar,no
perejil_atado_un,https://supermercado.laanonimaonline.com/frutas-y-verduras/perejil-x-atado-x-1-un/art_26855/,Perejil x atado (1 un),estándar,no
lechuga_francesa_envasada_250g,https://supermercado.laanonimaonline.com/frutas-y-verduras/lechuga-francesa-envasada-x-250-gr/art_3334/,Lechuga francesa envasada x 250 g,estándar,no
