item_id,url,title,brand_tier,cba_flag
shampoo_dove_hidratacion_400cc,https://supermercado.laanonimaonline.com/perfumeria/cuidado-cabello/shampoo/shampoo-hidratacion-intensa-dove-x-400-cc/art_5657/,Shampoo Dove hidratación intensa x 400 cc,premium,no
shampoo_pantene_hidratacion_400cc,https://supermercado.laanonimaonline.com/shampoo-hidrataci-1n-pantene-x-400-cc/art_17829/,Shampoo Pantene hidratación x 400 cc,premium,no
shampoo_elvive_color_400cc,https://supermercado.laanonimaonline.com/shampoo-color-vive-elvive-x-400-cc/art_19330/,Shampoo Elvive Color Vive x 400 cc,premium,no
acond_dove_reconstruccion_400cc,https://supermercado.laanonimaonline.com/perfumeria/cuidado-cabello/acondicionador/acondicionador-reconstruccion-completa-dove-x-400-cc/art_2467/,Acondicionador Dove Reconstrucción Completa x 400 cc,premium,no
acond_pantene_max_restauracion_400cc,https://supermercado.laanonimaonline.com/perfumeria/cuidado-cabello/acondicionador-pantene-max-pro-v-restauracion-x-400-cc/art_974/,Acondicionador Pantene Max Restauración x 400 cc,premium,no
acond_pantene_miracles_volumen_400cc,https://supermercado.laanonimaonline.com/perfumeria/cuidado-cabello/acondicionador/acondicionador-prov-v-miracles-volumen-pantene-x-400-cc/art_26766/,Acondicionador Pantene Miracles Volumen x 400 cc,premium,no
acond_dove_hidratacion_vit_400cc,https://supermercado.laanonimaonline.com/perfumeria/cuidado-cabello/acondicionador/acondicionador-hidratacion-con-vitamina-a-y-e-dove-x-400-cc/art_25760/,Acondicionador Dove hidratación Vit A+E x 400 cc,premium,no
desodorante_rexona_aerosol_nutritive_150cc,https://supermercado.laanonimaonline.com/desodorantes/antitranspirante-aerosol-nutritive-rexona-x-150-cc/art_14504/,Antitranspirante Rexona Nutritive aerosol x 150 cc,premium,no
desodorante_rexona_clinical_150cc,https://supermercado.laanonimaonline.com/perfumeria/cuidado-personal/antitranspirante-aerosol-clinical-clasica-rexona-x-150-cc/art_24687/,Antitranspirante Rexona Clinical aerosol x 150 cc,premium,no
desodorante_dove_original_150cc,https://supermercado.laanonimaonline.com/perfumeria/antitranspirante-aerosol-original-vegano-dove-x-150-cc/art_19658/,Antitranspirante Dove Original aerosol x 150 cc,premium,no
desodorante_dove_invisible_150cc,https://supermercado.laanonimaonline.com/perfumeria/cuidado-personal/desodorante/antitranspirante-aerosol-dove-invisible-dry-x-150-cc/art_1151/,Antitranspirante Dove Invisible Dry aerosol x 150 cc,premium,no
desodorante_axe_musk_150cc,https://supermercado.laanonimaonline.com/perfumeria/desodorantes/desodorante-aerosol-musk-axe-x-150-cc/art_18980/,Desodorante Axe Musk aerosol x 150 cc,premium,no
desodorante_axe_dark_150cc,https://supermercado.laanonimaonline.com/perfumeria/desodorantes/desodorante-aerosol-dark-temptation-axe-x-150-cc/art_18976/,Desodorante Axe Dark Temptation aerosol x 150 cc,premium,no
crema_dental_colgate_total12_90g,https://supermercado.laanonimaonline.com/perfumeria/cuidado-oral/cremas-dentales/crema-dental-total-12-encias-reforzadas-colgate-x-90-g/art_19155/,Crema dental Colgate Total 12 Encías Reforzadas x 90 g,estándar,no
crema_dental_colgate_triple_accion_102g,https://supermercado.laanonimaonline.com/perfumeria/cuidado-oral/cremas-dentales/crema-dental-colgate-triple-accion-xtra-blancura-x-102-g/art_4430/,Crema dental Colgate Triple Acción Xtra Blancura x 102 g,estándar,no
