item_id,url,title,brand_tier,cba_flag
arroz_molinos_ala_1kg,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/arroz-grano-largo-fino-molinos-ala-x-1-kg/art_2440/,Arroz grano largo fino Molinos Ala x 1 kg,estandar,si
arroz_dos_hermanos_1kg,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/arroz-largo-fino-dos-hermanos-x-1-kg/art_10598/,Arroz largo fino Dos Hermanos x 1 kg,premium,si
arroz_la_anonima_1kg,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/arroz-largo-fino-la-anonima-x-1-kg/art_15027/,Arroz largo fino La Anónima x 1 kg,segunda,si
harina_000_canuelas_1kg,https://supermercado.laanonimaonline.com/almacen/harinas/harina-000-ultra-refinada-canuelas-x-1-kg/art_14030/,Harina de trigo 000 Cañuelas x 1 kg,estandar,si
harina_000_pureza_1kg,https://supermercado.laanonimaonline.com/almacen/harina-y-pan-rallado/harina-de-trigo/harina-de-trigo-000-ultra-refinada-pureza-x-1-kg/art_22451/,Harina de trigo 000 Pureza x 1 kg,premium,si
harina_000_morixe_1kg,https://supermercado.laanonimaonline.com/almacen/harina-y-pan-rallado/harina-de-trigo/harina-de-trigo-000-morixe-x-1-kg/art_2045/,Harina de trigo 000 Morixe x 1 kg,estandar,si
harina_0000_pureza_1kg,https://supermercado.laanonimaonline.com/almacen/harina-y-pan-rallado/harina-de-trigo/harina-de-trigo-0000-ultra-refinada-pureza-x-1-kg/art_179/,Harina de trigo 0000 Ultra Refinada Pureza x 1 kg,premium,no
fideos_tallarines_best_500g,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/fideos-tallarin-best-x-500-g/art_3060/,Fideos tallarín Best x 500 g,segunda,si
fideos_spaghetti_best_500g,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/fideos-spaghetti-best-x-500-g/art_2996/,Fideos spaghetti Best x 500 g,segunda,si
fideos_tallarines_matarazzo_500g,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/fideos-tallarin-n5-matarazzo-x-500-g/art_25877/,Fideos tallarín Nº5 Matarazzo x 500 g,premium,si
fideos_tallarines_lucchetti_500g,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/fideos-al-huevo-tallarin-n-7-lucchetti-x-500-g/art_26662/,Fideos al huevo tallarín Nº7 Lucchetti x 500 g,estandar,si
azucar_ledesma_1kg,https://supermercado.laanonimaonline.com/almacen/desayuno-y-merienda/azucar-y-endulzantes/azucar-blanca-ledesma-x-1-kg/art_1/,Azúcar blanca Ledesma x 1 kg,estandar,si
azucar_chango_1kg,https://supermercado.laanonimaonline.com/almacen/desayuno-y-merienda/azucar-y-endulzantes/azucar-blanca-chango-x-1-kg/art_15019/,Azúcar blanca Chango x 1 kg,premium,si
azucar_la_anonima_1kg,https://supermercado.laanonimaonline.com/almacen/desayuno-y-merienda/azucar-y-endulzantes/azucar-blanca-la-anonima-x-1-kg/art_15018/,Azúcar blanca La Anónima x 1 kg,segunda,si
aceite_girasol_natura_1_5l,https://supermercado.laanonimaonline.com/almacen/aceite-aderezos-y-condimentos/aceite-de-girasol-natura-x-1-5-lt/art_1963/,"Aceite de girasol Natura x 1,5 L",estandar,si
aceite_girasol_canuelas_1_5l,https://supermercado.laanonimaonline.com/almacen/aceite-de-girasol-canuelas-x-1-5-lt/art_1990/,"Aceite de girasol Cañuelas x 1,5 L",estandar,si
aceite_girasol_la_anonima_1_5l,https://supermercado.laanonimaonline.com/almacen/aceite-aderezos-y-condimentos/aceite-de-girasol-la-anonima-x-1-5-lt/art_18033/,"Aceite de girasol La Anónima x 1,5 L",segunda,si
vinagre_alcohol_favinco_1l,https://supermercado.laanonimaonline.com/almacen/aceite-aderezos-y-condimentos/vinagre-de-alcohol-s-tacc-favinco-x-1-lt/art_14232/,Vinagre de alcohol Favinco x 1 L,estandar,no
sal_celusal_500g,https://supermercado.laanonimaonline.com/almacen/aceite-aderezos-y-condimentos/sal-fina-celusal-paquete-x-500-g/art_2118/,Sal fina Celusal x 500 g,estandar,no
mayonesa_natura_500cc,https://supermercado.laanonimaonline.com/almacen/aceite-aderezos-y-condimentos/mayonesa-natura-doy-pack-x-500-cc/art_2061/,Mayonesa Natura doypack x 500 cc,estandar,no
mayonesa_hellmanns_475g,https://supermercado.laanonimaonline.com/almacen/aderezos/mayonesa/mayonesa-clasica-doy-pack-hellmanns-x-475-g/art_18098/,Mayonesa clásica Hellmann’s doypack x 475 g,premium,no
mayonesa_la_anonima_500g,https://supermercado.laanonimaonline.com/almacen/aderezos/mayonesa-doypack-la-anonima-x-500-g/art_18045/,Mayonesa La Anónima doypack x 500 g,segunda,no
