item_id,url,title,brand_tier,cba_flag
coca_cola_1_5l,https://supermercado.laanonimaonline.com/bebidas/gaseosa-cola-coca-cola-pet-x-1-5-lt/art_2175/,"Gaseosa Coca‑Cola 1,5 L",premium,no
gaseosa_cola_la_anonima_1_5l,https://supermercado.laanonimaonline.com/bebidas/gaseosas/gaseosa-cola-la-anonima-pet-x-1-5-lt/art_18055/,"Gaseosa cola La Anónima 1,5 L",segunda,no
agua_eco_2l,https://supermercado.laanonimaonline.com/bebidas/agua-mineral-sin-gas-eco-de-los-andes-x-2-lt/art_2166/,Agua mineral Eco de los Andes 2 L,premium,no
h2o_limon_1_5l,https://supermercado.laanonimaonline.com/bebidas/gaseosas/agua-saborizada-h2o-limon-x-1-5-lt/art_13084/,"Agua saborizada H2O Limón 1,5 L",estandar,no
vino_los_primos_750ml,https://supermercado.laanonimaonline.com/bebidas/vinos-y-espumantes/tintos/vino-tinto-cabernet-sauvignon-los-primos-x-750-cc/art_23956/,Vino tinto Cabernet Los Primos 750 ml,estandar,no
vino_dada_merlot_750ml,https://supermercado.laanonimaonline.com/bebidas/vino-tinto-dada-merlot-x-750-cc/art_3127/,Vino tinto Dadá Merlot 750 ml,premium,no
cerveza_imperial_473ml,https://supermercado.laanonimaonline.com/bebidas/cervezas/cerveza-imperial-lata-x-473-cc/art_4313/,Cerveza Imperial lata 473 ml,premium,no
cerveza_templete_pack6_473,https://supermercado.laanonimaonline.com/bebidas/cervezas/cerveza-temple-cosmica-lata-473cc-x6/art_29451/,Cerveza Temple Cósmica lata 473 cc x6,premium,no
jugo_baggio_fresh_pomelo_2_25l,https://supermercado.laanonimaonline.com/bebidas/jugos/jugo-baggio-fresh-pomelo-x-2-25-lt/art_13019/,"Jugo Baggio Fresh pomelo 2,25 L",estandar,no
gaseosa_sprite_1_5l,https://supermercado.laanonimaonline.com/bebidas/gaseosas/gaseosa-sprite-pet-x-1-5-lt/art_2176/,"Gaseosa Sprite 1,5 L",estandar,no
