item_id,url,title,brand_tier,cba_flag
papa_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/verduras-frescas/papa-granel-kg/art_58/,Papa granel (kg),estandar,si
cebolla_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/verduras-frescas/cebolla-comercial-bolsita-kg/art_57/,Cebolla comercial (kg),estandar,si
zanahoria_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/zanahoria-comercial-bolsita-kg/art_3114/,Zanahoria (kg),estandar,si
tomate_redondo_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/tomate-redondo-kg/art_2390/,Tomate redondo (kg),estandar,si
manzana_red_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/manzana-red-elegida-kg/art_2399/,Manzana Red elegida (kg),estandar,si
banana_ecuador_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/frutas-frescas/banana-ecuador-kg/art_2393/,Banana Ecuador (kg),estandar,no
naranja_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/frutas-frescas/naranja-kg/art_2401/,Naranja (kg),estandar,no
lechuga_capuchina_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/verduras/lechuga-capuchina-kg/art_2383/,Lechuga capuchina (kg),estandar,no
ajo_250g,https://supermercado.laanonimaonline.com/frutas-y-verduras/verduras/ajo-paquete-x-250-g/art_2411/,Ajo paquete x 250 g,estandar,no
calabaza_anco_kg,https://supermercado.laanonimaonline.com/frutas-y-verduras/verduras/calabaza-anco-kg/art_2409/,Calabaza Anco (kg),estandar,no
