item_id,url,title,brand_tier,cba_flag
leche_entera_la_serenisima_1l,https://supermercado.laanonimaonline.com/frescos/lacteos/leches/leche-entera-la-serenisima-tetra-x-1-lt/art_1817/,Leche entera La Serenísima x 1 L,premium,si
leche_entera_lv_1l,https://supermercado.laanonimaonline.com/frescos/lacteos/leches/leche-entera-lv-x-1-lt/art_3653/,Leche entera LV x 1 L,estandar,si
leche_entera_la_anonima_1l,https://supermercado.laanonimaonline.com/frescos/lacteos/leches/leche-l-v-entera-la-anonima-x-1-lt/art_1824/,Leche entera La Anónima x 1 L,segunda,si
yogur_bebible_ilolay_1kg,https://supermercado.laanonimaonline.com/frescos/lacteos/yogur-entero-bebible-frutilla-sachet-ilolay-x-1-kg/art_7103/,Yogur entero bebible Ilolay x 1 kg,estandar,no
yogurisimo_firme_vainilla_120g,https://supermercado.laanonimaonline.com/frescos/lacteos/yogures/yogur-firme-vainilla-yogurisimo-x-120-g/art_13077/,Yogur firme Yogurísimo vainilla x 120 g,premium,no
yogur_bebible_ilolay_durazno_1kg,https://supermercado.laanonimaonline.com/frescos/lacteos/yogur-entero-bebible-frutilla-sachet-ilolay-x-1-kg/art_7103/,Yogur entero bebible Ilolay durazno x 1 kg,estandar,no
yogur_firme_ilolay_frutilla_190g,https://supermercado.laanonimaonline.com/frescos/lacteos/yogures/yogur-firme-frutilla-ilolay-x-190-g/art_13077/,Yogur firme Ilolay frutilla x 190 g,estandar,no
queso_cremoso_la_paulina_1kg,https://supermercado.laanonimaonline.com/frescos/quesos-y-fiambres/queso-cremoso-la-paulina-trozado-x-1-kg/art_3611/,Queso cremoso La Paulina x 1 kg,estandar,si
queso_azul_quesabores_150g,https://supermercado.laanonimaonline.com/frescos/quesos/azules/queso-azul-quesabores-x-150-g/art_21463/,Queso azul Quesabores x 150 g,premium,no
queso_rallado_la_anonima_40g,https://supermercado.laanonimaonline.com/frescos/quesos-y-fiambres/queso-rallado/queso-rallado-la-anonima-sachet-x-40-g/art_17097/,Queso rallado La Anónima sachet x 40 g,segunda,no
queso_mozzarella_la_anonima_kg,https://supermercado.laanonimaonline.com/frescos/quesos-y-fiambres/queso-mozzarella-la-anonima-kg/art_3611/,Queso mozzarella La Anónima (kg),segunda,no
queso_port_salut_la_paulina_300g,https://supermercado.laanonimaonline.com/frescos/quesos-y-fiambres/queso-port-salut-la-paulina-x-300-g/art_3611/,Queso Port Salut La Paulina x 300 g,estandar,no
queso_tybo_barra_la_paulina_kg,https://supermercado.laanonimaonline.com/frescos/quesos-y-fiambres/queso-tybo-barra-la-paulina-kg/art_3611/,Queso Tybo barra La Paulina (kg),estandar,no
queso_crema_casancrem_290g,https://supermercado.laanonimaonline.com/frescos/quesos-y-fiambres/queso-untable-casancrem-x-290-g/art_3611/,Queso untable CasanCrem x 290 g,premium,no
manteca_la_paulina_200g,https://supermercado.laanonimaonline.com/frescos/lacteos/manteca-y-margarina/manteca-la-paulina-x-200-g/art_3614/,Manteca La Paulina x 200 g,estandar,si
crema_leche_la_serenisima_200cc,https://supermercado.laanonimaonline.com/frescos/lacteos/cremas/crema-de-leche-la-serenisima-x-200-cc/art_3633/,Crema de leche La Serenísima x 200 cc,premium,no
margarina_vacalin_200g,https://supermercado.laanonimaonline.com/frescos/lacteos/manteca-y-margarina/margarina-vacalin-x-200-g/art_3614/,Margarina Vacalín x 200 g,estandar,no
ddl_punta_del_agua_400g,https://supermercado.laanonimaonline.com/frescos/lacteos/dulce-de-leche/dulce-de-leche-punta-del-agua-x-400-g/art_3978/,Dulce de leche Punta del Agua x 400 g,estandar,no
ddl_la_anonima_400g,https://supermercado.laanonimaonline.com/almacen/desayuno-y-merienda/dulce-de-leche/dulce-de-leche-la-anonima-tradicional-x-400-g/art_17090/,Dulce de leche La Anónima tradicional x 400 g,segunda,no
huevos_blancos_docena,https://supermercado.laanonimaonline.com/frescos/huevos/huevo-blanco-extra-grande-la-anonima-x-12-un/art_8089/,Huevo blanco extra grande La Anónima x 12 un,segunda,si
huevos_color_docena,https://supermercado.laanonimaonline.com/frescos/huevos/huevo-color-extra-grande-la-anonima-x-12-un/art_8089/,Huevo color extra grande La Anónima x 12 un,segunda,si
