item_id,url,title,brand_tier,cba_flag
detergente_magistral_750ml,https://supermercado.laanonimaonline.com/limpieza/lavado-de-vajilla/detergentes/detergente-magistral-limon-x-750-ml/art_15230/,Detergente Magistral limón 750 ml,premium,no
detergente_la_anonima_750ml,https://supermercado.laanonimaonline.com/limpieza/lavado-de-vajilla/detergentes/detergente-liquido-la-anonima-x-750-ml/art_18070/,Detergente líquido La Anónima 750 ml,segunda,no
lavandina_ayudin_1l,https://supermercado.laanonimaonline.com/limpieza/desinfeccion/lavandinas/lavandina-ayudin-tradicional-x-1-lt/art_3256/,Lavandina Ayudín tradicional 1 L,estandar,no
jabon_polvo_ala_3kg,https://supermercado.laanonimaonline.com/limpieza/lavado-de-ropa/jabon-en-polvo/jabon-en-polvo-ala-matic-3-en-1-x-3-kg/art_19935/,Jabón en polvo Ala Matic 3 en 1 x 3 kg,premium,no
papel_higienico_elite_12r,https://supermercado.laanonimaonline.com/perfumeria/papel-higienico/papel-higienico-elite-hojas-dobles-x-12-rollos/art_13564/,Papel higiénico Elite doble hoja x 12,premium,no
papel_higienico_la_anonima_12r,https://supermercado.laanonimaonline.com/perfumeria/papel-higienico/papel-higienico-la-anonima-hojas-simples-x-12-rollos/art_18090/,Papel higiénico La Anónima simple hoja x 12,segunda,no
shampoo_pantene_400ml,https://supermercado.laanonimaonline.com/perfumeria/cuidado-del-cabello/shampoo/shampoo-pantene-400-ml/art_13303/,Shampoo Pantene 400 ml,premium,no
pasta_dental_colgate_90g,https://supermercado.laanonimaonline.com/perfumeria/higiene-oral/pastas-dentales/crema-dental-colgate-triple-accion-x-90-g/art_3276/,Pasta dental Colgate Triple Acción 90 g,estandar,no
desodorante_rexona_v8_rollon_50ml,https://supermercado.laanonimaonline.com/perfumeria/cuidado-personal/desodorante/desodorante-antitranspirante-rexona-v8-roll-on-x-50-ml/art_2704/,Desodorante antitranspirante Rexona V8 roll-on 50 ml,estandar,no
panio_banderita_1u,https://supermercado.laanonimaonline.com/limpieza/accesorios/panos-y-trapos/pano-multicolor-banderita-x-1-un/art_10051/,Paño multicolor Banderita x 1 un,estandar,no
