item_id,url,title,brand_tier,cba_flag
pan_mignon_kg,https://supermercado.laanonimaonline.com/frescos/panes-y-tortillas/pan-mignon-kg/art_12063/,Pan mignon (kg),estandar,si
pan_lactal_best_600g,https://supermercado.laanonimaonline.com/almacen/desayuno-y-merienda/pan-lactal/pan-lacteado-grande-best-x-600-g/art_1662/,Pan lacteado grande Best x 600 g,segunda,no
pan_lactal_lactal_460g,https://supermercado.laanonimaonline.com/frescos/panificados/panes-de-molde-y-tortillas/pan-de-mesa-blanco-grande-lactal-bimbo-x-460-g/art_24387/,Pan de mesa blanco grande Lactal x 460 g,premium,no
pan_panchos_bimbo_6u,https://supermercado.laanonimaonline.com/frescos/panes-y-tortillas/pan-de-panchos-bimbo-artesano-x-6u/art_1256/,Pan de panchos Bimbo Artesano x 6 u,premium,no
tapas_empanadas_la_anonima_12u,https://supermercado.laanonimaonline.com/frescos/panificados/tapas/tapas-para-empanadas-la-anonima-x-12-un/art_17105/,Tapas para empanadas La Anónima x 12 un,segunda,no
tapas_pascualina_la_anonima_2u,https://supermercado.laanonimaonline.com/frescos/panificados/tapas/tapas-pascualina-la-anonima-con-semillas-x-2-un-400-g/art_17106/,Tapas Pascualina La Anónima con semillas x 2 un (400 g),segunda,no
pan_doble_integral_la_anonima_540g,https://supermercado.laanonimaonline.com/frescos/panificados/panes-de-molde-y-tortillas/pan-doble-integral-la-anonima-x-540-g/art_17110/,Pan doble integral La Anónima x 540 g,segunda,no
pan_baguette_unidad,https://supermercado.laanonimaonline.com/frescos/panificados/pan-baguette-por-unidad-la-anonima-kg/art_17109/,Pan baguette por unidad La Anónima (kg),segunda,no
pan_mesa_artesano_500g,https://supermercado.laanonimaonline.com/almacen/desayuno-y-merienda/pan-integral-con-masa-madre-artesano-x-500-g/art_28834/,Pan integral con masa madre Artesano x 500 g,premium,no
pan_integral_artesano_500g,https://supermercado.laanonimaonline.com/frescos/panificados/panes-de-molde-y-tortillas/pan-integral-artesano-artesano-x-500-g/art_19451/,Pan integral Artesano x 500 g,premium,no
