period,item_id,name,query,title,url,brand_tier,cba_flag,category,in_stock,promo_flag,price_original,price_promo,price_final,unit_price_base,qty_base,expected_qty,cost_item_ae,substitution
2025-09,arroz_1kg,Arroz 1 kg,PINNED,Arroz Grano Largo Fino Molinos Ala x 1 kg.,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/arroz-grano-largo-fino-molinos-ala-x-1-kg/art_2440/,estandar,si,,True,True,2100.0,1500.0,1500.0,1500.0,1.0,1.0,3000.0,
2025-09,aceite_girasol_1_5l,Aceite girasol 1.5 l,PINNED,"Aceite de Girasol Natura x 1,5 Lt.",https://supermercado.laanonimaonline.com/almacen/aceite-de-girasol-natura-x-1-5-lt/art_1963/,estandar,si,,True,True,5000.0,5000.0,5000.0,3333.3333333333335,1.5,1.5,3333.3333333333335,
2025-09,azucar_1kg,Azúcar 1 kg,PINNED,Azúcar Blanca Ledesma x 1 Kg.,https://supermercado.laanonimaonline.com/almacen/desayuno-y-merienda/azucar-y-endulzantes/azucar-blanca-ledesma-x-1-kg/art_1/,estandar,si,,True,True,1250.0,1250.0,1250.0,1250.0,1.0,1.0,1875.0,
2025-09,huevos_docena,Huevos docena,PINNED,Huevo Blanco Extra Grande La Anónima x 12 un.,https://supermercado.laanonimaonline.com/frescos/huevos/huevo-blanco-extra-grande-la-anonima-x-12-un/art_8089/,segunda,si,,True,True,1500.0,5550.0,5550.0,5550.0,1.0,12.0,11100.0,
2025-09,carne_picada_1kg,Carne picada 1 kg,PINNED,Carne Vacuna,https://supermercado.laanonimaonline.com/carniceria/carne-vacuna/n2_77/,,,,True,True,12020.0,12020.0,12020.0,12020.0,1.0,1.0,24040.0,
2025-09,pollo_1kg,Pollo 1 kg,PINNED,Pollo,https://supermercado.laanonimaonline.com/carniceria/pollo/n2_78/,,,,True,True,3990.0,3990.0,3990.0,3990.0,1.0,1.0,7980.0,
2025-09,pan_1kg,Pan 1 kg,PINNED,Harina y Pan Rallado,https://supermercado.laanonimaonline.com/almacen/harina-y-pan-rallado/n2_18/,,,,True,True,1400.0,780.0,780.0,780.0,1.0,1.0,1560.0,
2025-09,queso_cremoso_1kg,Queso cremoso 1 kg,PINNED,Quesos y Fiambres,https://supermercado.laanonimaonline.com/frescos/quesos-y-fiambres/n2_70/,,,,True,True,3220.0,3220.0,3220.0,3220.0,1.0,1.0,2576.0,
2025-09,papa_1kg,Papa 1 kg,PINNED,Papas y Vegetales,https://supermercado.laanonimaonline.com/congelados/papas-y-vegetales/n2_299/,,,,True,True,9900.0,9300.0,9300.0,9300.0,1.0,1.0,27900.0,
2025-09,harina_000_canuelas_1kg,Harina 000 Ultra Refinada Cañuelas x 1 Kg.,PINNED,Harina 000 Ultra Refinada Cañuelas x 1 Kg.,https://supermercado.laanonimaonline.com/almacen/harinas/harina-000-ultra-refinada-canuelas-x-1-kg/art_14030/,estandar,si,,True,True,1150.0,1150.0,1150.0,1150.0,1.0,0.0,,
2025-09,harina_000_morixe_1kg,Harina de Trigo 000 Morixe x 1 Kg.,PINNED,Harina de Trigo 000 Morixe x 1 Kg.,https://supermercado.laanonimaonline.com/almacen/harina-y-pan-rallado/harina-de-trigo/harina-de-trigo-000-morixe-x-1-kg/art_2045/,estandar,si,,True,True,820.0,820.0,820.0,820.0,1.0,0.0,,
2025-09,harina_0000_pureza_1kg,Harina de Trigo 0000 Ultra Refinada Pureza x 1 kg.,PINNED,Harina de Trigo 0000 Ultra Refinada Pureza x 1 kg.,https://supermercado.laanonimaonline.com/almacen/harina-y-pan-rallado/harina-de-trigo/harina-de-trigo-0000-ultra-refinada-pureza-x-1-kg/art_179/,premium,no,,True,True,1500.0,1500.0,1500.0,1500.0,1.0,0.0,,
2025-09,fideos_tallarines_la_anonima_500g,Fideos Tallarín La Anónima x 500 g.,PINNED,Fideos Tallarín La Anónima x 500 g.,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/fideos-tallarin-la-anonima-x-500-g/art_2021/,segunda,si,,True,True,1409.0,1650.0,1650.0,3300.0,0.5,0.0,,
2025-09,fideos_tallarines_matarazzo_500g,Fideos Tallarin N5 Matarazzo x 500 g.,PINNED,Fideos Tallarin N5 Matarazzo x 500 g.,https://supermercado.laanonimaonline.com/producto/art_25877/,premium,si,,True,True,3320.0,1950.0,1950.0,3900.0,0.5,0.0,,
2025-09,fideos_tallarines_lucchetti_500g,Fideos Tallarín N 5 Lucchetti x 500 g.,PINNED,Fideos Tallarín N 5 Lucchetti x 500 g.,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/fideos-tallarin-n-5-lucchetti-x-500-g/art_25600/,estandar,si,,True,True,1650.0,1650.0,1650.0,3300.0,0.5,0.0,,
2025-09,fideos_tallarines_best_500g,Fideos Tallarín Best x 500 g.,PINNED,Fideos Tallarín Best x 500 g.,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/fideos-tallarin-best-x-500-g/art_3060/,segunda,si,,True,True,1250.0,1250.0,1250.0,2500.0,0.5,0.0,,
2025-09,pure_tomate_520g,Pure de Tomate Brick Arcor x 520 g.,PINNED,Pure de Tomate Brick Arcor x 520 g.,https://supermercado.laanonimaonline.com/almacen/conservas-y-encurtidos/pure-de-tomate-brick-arcor-x-520-g/art_27641/,estandar,si,,True,True,650.0,650.0,650.0,1250.0,0.52,0.0,,
