date,period,item_id,name,query,title,url,price_original,price_promo,price_final,qty_base,unit,unit_price_base,in_stock,promo_flag
2025-09-12,2025-09,arroz_1kg,Arroz 1 kg,PINNED,Arroz Grano Largo Fino Molinos Ala x 1 kg.,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/arroz/arroz-grano-largo-fino-molinos-ala-x-1-kg/art_2440/,1500.0,1500.0,1500.0,1.0,kg,1500.0,True,True
2025-09-12,2025-09,harina000_1kg,Harina 000 1 kg,PINNED,Harina de Trigo 000 Cañuelas x 1 Kg.,https://supermercado.laanonimaonline.com/almacen/harina-y-pan-rallado/harina-de-trigo/harina-de-trigo-000-canuelas-x-1-kg/art_4/,183.0,183.0,183.0,1.0,kg,183.0,True,True
2025-09-12,2025-09,fideos_1kg,Fideos 1 kg,PINNED,Fideos Spaghetti La Anónima x 500 g.,https://supermercado.laanonimaonline.com/almacen/arroz-pastas-y-legumbres/fideos-spaghetti-la-anonima-x-500-g/art_2020/,1750.0,1750.0,1750.0,0.0,kg,,True,True
2025-09-12,2025-09,aceite_girasol_1_5l,Aceite girasol 1.5 l,PINNED,"Aceite de Girasol Natura x 1,5 Lt.",https://supermercado.laanonimaonline.com/almacen/aceite-aderezos-y-condimentos/aceite-de-girasol-natura-x-1-5-lt/art_1963/,4800.0,4800.0,4800.0,1.5,l,3200.0,True,True
2025-09-12,2025-09,azucar_1kg,Azúcar 1 kg,PINNED,Azúcar Blanca Ledesma x 1 Kg.,https://supermercado.laanonimaonline.com/almacen/desayuno-y-merienda/azucar-y-endulzantes/azucar-blanca-ledesma-x-1-kg/art_1/,1255.0,1255.0,1255.0,1.0,kg,1255.0,True,True
2025-09-12,2025-09,yerba_1kg,Yerba mate 1 kg,PINNED,Yerba Mate Tradicional Amanda x 1 kg.,https://supermercado.laanonimaonline.com/almacen/yerba-mate-tradicional-amanda-x-1-kg/art_3180/,4500.0,3950.0,3950.0,1.0,kg,3950.0,True,True
2025-09-12,2025-09,leche_1l,Leche 1 l,PINNED,Leche L.V. Entera La Anónima x 1 lt.,https://supermercado.laanonimaonline.com/frescos/lacteos/leches/leche-l-v-entera-la-anonima-x-1-lt/art_1824/,1990.0,1990.0,1990.0,1.0,l,1990.0,True,True
2025-09-12,2025-09,huevos_docena,Huevos docena,PINNED,Huevo Color D.T. x 12 un.,https://supermercado.laanonimaonline.com/frescos/huevos/huevo-color-d-t-x-12-un/art_7088/,4700.0,4700.0,4700.0,1.0,unit,4700.0,True,True
2025-09-12,2025-09,carne_picada_1kg,Carne picada 1 kg,PINNED,Carne Picada E/V Estancias LA x 500 g.,https://supermercado.laanonimaonline.com/carniceria/carne-vacuna/carne-picada-e-v-estancias-la-x-500-g/art_1382/,2750.0,8840.0,8840.0,0.0,kg,,True,True
2025-09-12,2025-09,pollo_1kg,Pollo 1 kg,PINNED,Pollo Fresco La Anónima (Kg),https://supermercado.laanonimaonline.com/carniceria/pollo-fresco-la-anonima-kg/art_2330/,5159.0,3690.0,3690.0,1.0,unit,3690.0,True,True
2025-09-12,2025-09,pan_1kg,Pan 1 kg,PINNED,Pan Mignon (Kg),https://supermercado.laanonimaonline.com/frescos/panes-y-tortillas/pan-mignon-kg/art_12063/,3550.0,3550.0,3550.0,1.0,unit,3550.0,True,True
2025-09-12,2025-09,queso_cremoso_1kg,Queso cremoso 1 kg,PINNED,Queso Cremoso Horma Entera La Paulina x 1 Kg.,https://supermercado.laanonimaonline.com/frescos/quesos-y-fiambres/queso-cremoso-horma-entera-la-paulina-x-1-kg/art_11530/,7200.0,7200.0,7200.0,1.0,kg,7200.0,True,True
2025-09-12,2025-09,manzana_1kg,Manzana 1 kg,PINNED,Manzana Red Elegida (Kg),https://supermercado.laanonimaonline.com/frutas-y-verduras/manzana-red-elegida-kg/art_2399/,2990.0,2990.0,2990.0,1.0,unit,2990.0,True,True
2025-09-12,2025-09,papa_1kg,Papa 1 kg,PINNED,Papa Granel (Kg),https://supermercado.laanonimaonline.com/frutas-y-verduras/verduras/papa-granel-kg/art_58/,1499.0,1499.0,1499.0,1.0,unit,1499.0,True,True
